"code_name";"eicat";"confidence";"mechanisms"
"a.baile";3;"low";"(1) Competition; (10) Physical impact on ecosystems"
"a.cyclo";3;"medium";"(1) Competition; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems"
"a.cyclo";2;"low";"(11) Structural impact on ecosystems"
"a.cyclo";2;"medium";"(11) Structural impact on ecosystems"
"a.cyclo";0;"low";"(1) Competition; (9) Chemical impact on ecosystems; (11) Structural impact on ecosystems"
"a.cyclo";1;"medium";"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems"
"a.cyclo";2;"low";"(11) Structural impact on ecosystems"
"a.cyclo";2;"low";"(9) Chemical impact on ecosystems"
"a.cyclo";0;"low";"(6) Poisoning/toxicity"
"a.dealb";2;"medium";"(1) Competition; (9) Chemical impact on the ecosystem; (12) Interaction with other alien species"
"a.dealb";3;"low";"(1) Competition; (10) Physical impact on ecosystems"
"a.dealb";0;"medium";"(12) Indirect impacts through interaction with other species"
"a.dealb";3;"high";"(1) Competition; (9) Chemical impact on ecosystems; "
"a.dealb";3;"low";"(6)Poisoning/toxicity; (9) Chemical impact on ecosystems"
"a.dealb";2;"high";"(11) Structural impact on ecosystems"
"a.dealb";2;"low";"(1) Competition"
"a.dealb";1;"low";"(6) Poisoning/toxicity"
"a.dealb";3;"low";"(9) Chemical impact on ecosystems"
"a.dealb";1;"medium";"(1) Competition; (6) Poisoning/toxicity; (9) Chemical impact on ecosystems, (10) Physical impact on ecosystems"
"a.dealb";0;"medium";"(6) Poisoning/toxicity; (9) Chemical impact on ecosystems"
"a.dealb";0;"medium";"(6) Poisoning/toxicity"
"a.dealb";3;"high";"(1) Competition; (6) Poisoning/toxicity; (9) Chemical impact on ecosystems"
"a.dealb";1;"low";"(6) Poisoning/toxicity"
"a.dealb";2;"medium";"(6) Poisoning/toxicity; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems"
"a.dealb";1;"medium";"(12) Indirect impacts through interaction with other species"
"a.dealb";0;"low";"(9) Chemical impact on ecosystems"
"a.dealb";0;"low";"(9) Chemical impact on ecosystems"
"a.dealb";3;"high";"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems"
"a.dealb";1;"low";"(6) Poisoning/toxicity"
"a.dealb";1;"low";"(6) Poisoning/toxicity; (9) Chemical impact on the ecosystem"
"a.dealb";1;"low";"(6) Poisoning/toxicity"
"a.dealb";1;"low";"(6) Poisoning/toxicity"
"a.dealb";0;"low";"(12) Indirect impacts through interaction with other species"
"a.dealb";1;"low";"(9) Chemical impact on ecosystems"
"a.dealb";3;"high";"(1) Competition; (11) Structural impact on ecosystems"
"a.dealb";2;"medium";"(1) Competition"
"a.dealb";3;"medium";"(1) Competition; (9) Chemical impact on ecosystems"
"a.dealb";2;"low";"(9) Chemical impact on ecosystems, (11) Structural impact on ecosystems"
"a.dealb";1;"low";"(6) Toxicity/poisoning"
"a.dealb";1;"low";"(6) Poisoning/toxicity"
"a.dealb";0;"low";"(6) Poisoning/toxicity"
"a.decur";2;"medium";"(1) Competition; (11) Structural impact on ecosystems"
"a.decur";3;"low";"(1) Competition; (9) Chemical impact on ecosystems"
"a.elata";1;"low";"(6) Poisoning/toxicity"
"a.longi";3;"medium";"(1) Competition; (10) Physical impact on ecosystems"
"a.longi";2;"medium";"(10) Physical impact on the ecosystem, (11) Structural impact on the ecosystem"
"a.longi";2;"high";"(10) Physical impact on the ecosystem, (11) Structural impact on the ecosystem"
"a.longi";1;"high";"(1) Competition; (9) Chemical impact on the ecosystem; (10) Physical impact on ecosystems; (11) Structural impact on ecosystems"
"a.longi";3;"high";"(1) Competition; (10) Physical impact on ecosystems; (11) Structural impact on ecosystems"
"a.longi";1;"low";"(6) Poisoning/toxicity"
"a.longi";3;"high";"(1) Competition; (9) Chemical impact on ecosystems"
"a.longi";1;"medium";"(12) Indirect impacts through interaction with other species"
"a.longi";3;"high";"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems"
"a.longi";3;"high";"(1) Competition"
"a.longi";3;"low";"(9) Chemical impact on ecosystems"
"a.longi";0;"low";"(1) Competition; (9) Chemical impact on ecosystems"
"a.longi";1;"high";"(11) Structural impact on ecosystems"
"a.longi";3;"high";"(11) Structural impact on ecosystems"
"a.longi";0;"low";"(9) Chemical impact on ecosystems"
"a.longi";3;"low";"(9) Chemical impact on ecosystems"
"a.longi";3;"high";"(1) Competition"
"a.longi";1;"low";"(1) Competition"
"a.longi";3;"medium";"(1) Competition"
"a.longi";3;"medium";"(1) Competition; (10) Physical impact on ecosystems"
"a.longi";3;"medium";"(1) Competition; (11) Structural impact on ecosystems"
"a.longi";1;"low";"(9) Chemical impact on ecosystems; (12) Indirect impacts through interaction with other species"
"a.longi";2;"low";"(1) Competition; (11) Structural impact on ecosystems; (12) Indirect impacts through interaction with other species"
"a.longi";0;"medium";"(9) Chemical impact on ecosystems"
"a.longi";3;"low";"(9) Chemical impact on ecosystems"
"a.longi";2;"low";"(11) Structural impact on ecosystems"
"a.longi";1;"medium";"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems; "
"a.longi";0;"medium";"(9) Chemical impact on ecosystems"
"a.longi";1;"medium";"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems; "
"a.longi";2;"low";"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems; "
"a.longi";0;"medium";"(1) Competition; (9) Chemical impact on ecosystems"
"a.longi";1;"medium";"(11) Structural impact on ecosystems; (12) Indirect impacts through interaction with other species"
"a.longi";3;"low";"(12) Indirect impacts through interaction with other species"
"a.mearn";3;"low";"(1) Competition; (10) Physical impact on ecosystems"
"a.mearn";1;"low";"(6) Poisoning/toxicity; (9) Chemical impact on ecosystems"
"a.mearn";1;"low";"(6) Poisoning/toxicity"
"a.mearn";2;"medium";"(1) Competition; (9) Chemical impact on ecosystems"
"a.mearn";2;"medium";"(11) Structural impact on ecosystems"
"a.mearn";3;"low";"(9) Chemical impact on ecosystems"
"a.mearn";2;"low";"(1) Competition; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems"
"a.mearn";3;"medium";"(1) Competition; (6) Poisoning/toxicity"
"a.mearn";2;"medium";"(11) Structural impact on ecosystems"
"a.mearn";3;"high";"(11) Structural impact on ecosystems"
"a.mearn";0;"medium";"(1) Competition"
"a.mearn";3;"low";"(9) Chemical impact on ecosystems"
"a.mearn";2;"low";"(11) Structural impact on ecosystems"
"a.mearn";0;"low";"(11) Structural impact on ecosystems"
"a.mearn";1;"low";"(1) Competition; (9) Chemical impact on ecosystems"
"a.mearn";0;"low";"(9) Chemical impact on ecosystems"
"a.mearn";3;"high";"(1) Competition; (9) Chemical impact on ecosystems; (11) Structural impact on ecosystems"
"a.mearn";0;"low";"(9) Chemical impact on ecosystems"
"a.mearn";1;"low";"(6) Toxicity/poisoning"
"a.mearn";3;"high";"(1) Competition; (9) Chemical impact on ecosystems"
"a.mearn";2;"high";"(11) Structural impact on ecosystems"
"a.mearn";3;"high";"(1) Competition; (10) Physical impact on ecosystems"
"a.mearn";2;"low";"(6) Poisoning/toxicity; (9) Chemical impact on ecosystems"
"a.mearn";3;"low";"(12) Indirect impacts through interaction with other species"
"a.mearn";0;"low";"(6) Poisoning/toxicity"
"a.mearn";0;"low";"(6) Poisoning/toxicity"
"a.melan";1;"low";"(6) Poisoning/toxicity"
"a.melan";1;"low";"(6) Poisoning/toxicity"
"a.melan";1;"low";"(6) Poisoning/toxicity"
"a.melan";3;"high";"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems"
"a.melan";1;"low";"(9) Chemical impact on ecosystems; (12) Indirect impacts through interaction with other species"
"a.melan";0;"medium";"(1) Competition"
"a.melan";1;"low";"(1) Competition; (6) Poisoning/toxicity"
"a.melan";2;"low";"(11) Structural impact on ecosystems"
"a.melan";0;"low";"(6) Poisoning/toxicity"
"a.pycna";3;"high";"(1) Competition; (6) Poisoning/toxicity"
"a.salic";1;"low";"(1) Competition; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems; (11) Structural impact on ecosystems"
"a.salig";3;"medium";"(1) Competition; (10) Physical impact on ecosystems"
"a.salig";0;"high";"(1) Competition"
"a.salig";0;"high";"(1) Competition"
"a.salig";2;"high";"(11) Structural impact on ecosystems"
"a.salig";1;"low";"(1) Competition; (10) Physical impact on ecosystems"
"a.salig";3;"medium";"(1) Competition; (6) Poisoning/toxicity; (9) Chemical impact on the ecosystem; (10) Physical impact on ecosystems"
"a.salig";0;"high";"(1) Competition; (9) Chemical impact on the ecosystem"
"a.salig";0;"high";"(12) Indirect impacts through interaction with other species"
"a.salig";3;"medium";"(1) Competition"
"a.salig";3;"medium";"(1) Competition; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems"
"a.salig";3;"low";"(9) Chemical impact on ecosystems"
"a.salig";0;"medium";"(1) Competition; (9) Chemical impact on ecosystems"
"a.salig";2;"low";"(1) Competition; (9) Chemical impact on ecosystems; (11) Structural impact on ecosystems"
"a.salig";3;"high";"(1) Competition; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems; (11) Structural impact on ecosystems"
"a.salig";3;"medium";"(1) Competition; (6) Poisoning/toxicity; (9) Chemical impact on ecosystems"
"a.salig";2;"medium";"(1) Competition; (6) Poisoning/toxicity"
"a.salig";2;"medium";"(11) Structural impact on ecosystems"
"a.salig";3;"high";"(11) Structural impact on ecosystems"
"a.salig";2;"low";"(11) Structural impact on ecosystems"
"a.salig";3;"high";"(1) Competition; (9) Chemical impact on ecosystems"
"a.salig";3;"medium";"(1) Competition; (9) Chemical impact on the ecosystem"
"a.salig";0;"low";"(9) Chemical impact on ecosystems"
"a.salig";3;"low";"(12) Indirect impacts through interaction with other species"
"a.salig";1;"low";"(6) Poisoning/toxicity"
